iter	MultiClass
0	1.361096014
1	1.335982799
2	1.312401158
3	1.28900414
4	1.2667186
5	1.245223841
6	1.224589233
7	1.20422766
8	1.184528574
9	1.165388821
10	1.146757102
11	1.129006988
12	1.111592511
13	1.094939718
14	1.078115709
15	1.062073745
16	1.046464929
17	1.031219264
18	1.016325588
19	1.00164207
20	0.9875135385
21	0.9736438654
22	0.9602560506
23	0.9470659343
24	0.9342408496
25	0.9216351413
26	0.909387453
27	0.8977214893
28	0.8859175181
29	0.8743446124
30	0.8630440164
31	0.8520860951
32	0.841644187
33	0.8311327331
34	0.8209073701
35	0.8108110653
36	0.8010128497
37	0.7911963519
38	0.7818161814
39	0.7726532521
40	0.7634483146
41	0.7544295239
42	0.7456077898
43	0.7370649104
44	0.7287303724
45	0.7205237539
46	0.7124554985
47	0.7044504803
48	0.696529195
49	0.6888474297
50	0.6812964435
51	0.6740418855
52	0.6668030317
53	0.6594803886
54	0.6524741909
55	0.6456236736
56	0.6388617758
57	0.6321421562
58	0.6256248368
59	0.6193104573
60	0.6128817378
61	0.6065955436
62	0.6005300592
63	0.5946462449
64	0.588734113
65	0.5829426204
66	0.577240226
67	0.5715198387
68	0.5660597753
69	0.5605678919
70	0.555141803
71	0.5498321911
72	0.5446839129
73	0.5396644279
74	0.5345739993
75	0.5296254834
76	0.5247633106
77	0.5199546512
78	0.5151664253
79	0.5104745786
80	0.5058226008
81	0.5013230765
82	0.4968911115
83	0.4924924743
84	0.488204038
85	0.4839332859
86	0.4796723125
87	0.4755732188
88	0.4714344275
89	0.4674127447
90	0.4633362532
91	0.459416028
92	0.4555848743
93	0.4518649558
94	0.4482087448
95	0.4444669939
96	0.4407292325
97	0.4371144587
98	0.4334988689
99	0.4300122053
100	0.4265190052
101	0.4230100177
102	0.4196054886
103	0.4163035246
104	0.4130397757
105	0.4098035841
106	0.4066317235
107	0.4034590519
108	0.4003401293
109	0.3972800173
110	0.3942635346
111	0.3912686482
112	0.38824792
113	0.3852625025
114	0.3823669935
115	0.3795099239
116	0.3767220819
117	0.3739610972
118	0.3712531548
119	0.3684995322
120	0.3658482285
121	0.3632087825
122	0.3605696599
123	0.3579483233
124	0.35543356
125	0.3529752369
126	0.3505487917
127	0.3481241982
128	0.345703445
129	0.343298141
130	0.340859692
131	0.3385775297
132	0.3363786082
133	0.3341620121
134	0.3320370767
135	0.3298124527
136	0.3276197893
137	0.3254905531
138	0.3234680594
139	0.3213478566
140	0.3191675474
141	0.3170975233
142	0.3150887637
143	0.313097892
144	0.3111856047
145	0.3093039379
146	0.3073314515
147	0.3054135052
148	0.3034804554
149	0.3015917916
150	0.2997139682
151	0.2979220712
152	0.2960603748
153	0.2942399419
154	0.2924378112
155	0.2906098958
156	0.2889265585
157	0.2871981519
158	0.2855409448
159	0.2839017647
160	0.2822405304
161	0.2805636183
162	0.2790024363
163	0.2774377636
164	0.2758722738
165	0.274323695
166	0.2727786502
167	0.2712955396
168	0.2697533234
169	0.2682750356
170	0.2668563494
171	0.2655116733
172	0.2640543983
173	0.2626634974
174	0.2612253371
175	0.2598063685
176	0.2584371304
177	0.2570729991
178	0.2556811905
179	0.2543457291
180	0.2530352931
181	0.2517136394
182	0.2504080429
183	0.2491064731
184	0.2478570211
185	0.2465376575
186	0.2452644323
187	0.2440706523
188	0.2428176185
189	0.2415978795
190	0.2403943141
191	0.2392352913
192	0.2380149132
193	0.2368623882
194	0.2357074236
195	0.2345537575
196	0.2334149059
197	0.2322724126
198	0.2311573729
199	0.2301099279
200	0.2290278692
201	0.2279489306
202	0.2269135647
203	0.2258367151
204	0.2248203433
205	0.2238101766
206	0.2227566984
207	0.2216758067
208	0.220666699
209	0.2196671781
210	0.2187355186
211	0.2177883602
212	0.2169078886
213	0.215947412
214	0.2150023697
215	0.2140762365
216	0.2131598532
217	0.2122596921
218	0.2113828636
219	0.2105111968
220	0.2096699541
221	0.2088237817
222	0.2079568581
223	0.2070735732
224	0.2062011031
225	0.2053898421
226	0.2045637146
227	0.2037273492
228	0.2029013595
229	0.2021305592
230	0.2013726027
231	0.20056629
232	0.1998271482
233	0.199102892
234	0.1983113782
235	0.1975693722
236	0.1968589264
237	0.1960696673
238	0.1953434725
239	0.1946917268
240	0.1939548902
241	0.1932338642
242	0.1925373476
243	0.1918770765
244	0.1912388097
245	0.1905714535
246	0.1899210531
247	0.1892301379
248	0.1885322574
249	0.1878558253
250	0.1871980617
251	0.1865895226
252	0.1859760201
253	0.1853151497
254	0.184712715
255	0.1840992803
256	0.1834951852
257	0.1828541275
258	0.182227572
259	0.1816365627
260	0.1810849823
261	0.1805074094
262	0.1799198803
263	0.1793185895
264	0.1787938867
265	0.1782600213
266	0.1777206506
267	0.1771485795
268	0.1766566802
269	0.1761821526
270	0.1756369163
271	0.175124201
272	0.1746332005
273	0.1741100331
274	0.1736196003
275	0.1730820266
276	0.172554284
277	0.1720484186
278	0.1715397953
279	0.1710612649
280	0.1705808034
281	0.1700925874
282	0.1696168818
283	0.1691406498
284	0.1686508895
285	0.1682056846
286	0.167758906
287	0.167274523
288	0.1668751642
289	0.1664447819
290	0.1660546496
291	0.1656568381
292	0.1652426997
293	0.1648143483
294	0.1643894412
295	0.1639735886
296	0.1635489587
297	0.1631923618
298	0.1627922926
299	0.1624009359
300	0.1620185864
301	0.1615818641
302	0.1611735073
303	0.1607816963
304	0.1604065464
305	0.1599921066
306	0.159606409
307	0.1592262194
308	0.1588849904
309	0.1585337957
310	0.1581804339
311	0.1578547113
312	0.1574733785
313	0.1571483303
314	0.1567594579
315	0.1564424727
316	0.1560825964
317	0.1557591569
318	0.1554435942
319	0.1551308192
320	0.1547634731
321	0.1544827986
322	0.1541806349
323	0.1538625412
324	0.1535082542
