,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9615023474178404,0.9123595505617977,0.9042316258351893,0.9082774049217003,0.9744807121661722
1,SB,0.9826291079812206,0.9858611825192802,0.9672131147540983,0.9764481222151495,0.9807692307692307
2,SR,0.976056338028169,0.9191011235955057,0.964622641509434,0.9413118527042578,0.9910979228486647
3,GSVT,0.9633802816901409,0.9177489177489178,0.9137931034482759,0.9157667386609072,0.9760191846522782
4,macro avg,,0.9354510296255036,0.9374651213867493,0.9337676936063753,
5,micro avg,,0.9417840375586854,0.9417840375586854,0.9417840375586854,
6,weighted avg,,0.9417033295719608,0.9419269324132156,0.9417840375586854,
