,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9619718309859155,0.9123595505617977,0.90625,0.9092945128779394,0.9750741839762611
1,SB,0.9830985915492958,0.9832904884318766,0.9708121827411168,0.9770114942528736,0.9829881656804734
2,SR,0.9765258215962441,0.9325842696629213,0.9540229885057471,0.9431818181818182,0.9881305637982196
3,GSVT,0.9610328638497653,0.9069264069264069,0.9128540305010894,0.9098805646036917,0.9760191846522782
4,macro avg,,0.9348420974790808,0.9359848004369884,0.9337901788957506,
5,micro avg,,0.9413145539906104,0.9413145539906104,0.9413145539906104,
6,weighted avg,,0.9412355543179499,0.9412450329338731,0.9413145539906104,
