,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.963849765258216,0.8898876404494382,0.9339622641509434,0.9113924050632911,0.9833827893175074
1,SB,0.9131455399061033,0.993573264781491,0.8111227701993704,0.8931253610629694,0.8668639053254438
2,SR,0.903755868544601,0.6179775280898876,0.8870967741935484,0.7284768211920529,0.9792284866468842
3,GSVT,0.9582159624413146,0.8831168831168831,0.9209932279909706,0.9016574585635359,0.9790167865707434
4,macro avg,,0.8586630114704623,0.8882937591337082,0.846138829109425,
5,micro avg,,0.8694835680751174,0.8694835680751174,0.8694835680751174,
6,weighted avg,,0.8643939354211135,0.8764899805681866,0.8694835680751174,
