,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.964319248826291,0.9191011235955057,0.910913140311804,0.9149888143176735,0.9762611275964391
1,SB,0.9830985915492958,0.9858611825192802,0.9684343434343434,0.9770700636942675,0.981508875739645
2,SR,0.9765258215962441,0.9280898876404494,0.9582366589327146,0.9429223744292237,0.9893175074183976
3,GSVT,0.9652582159624413,0.9155844155844156,0.9235807860262009,0.9195652173913043,0.9790167865707434
4,macro avg,,0.9386366174581173,0.9402912321762658,0.9371591523349128,
5,micro avg,,0.9446009389671362,0.9446009389671362,0.9446009389671362,
6,weighted avg,,0.9444930136062405,0.9445577009388897,0.9446009389671362,
