,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.956338028169014,0.8404494382022472,0.9444444444444444,0.8894173602853744,0.9869436201780415
1,SB,0.9826291079812206,0.9845758354755784,0.9683944374209861,0.9764181007010835,0.981508875739645
2,SR,0.9577464788732394,0.9213483146067416,0.8817204301075269,0.901098901098901,0.9673590504451038
3,GSVT,0.9596244131455399,0.9242424242424242,0.893305439330544,0.9085106382978724,0.9694244604316546
4,macro avg,,0.9188612500958079,0.9219661878258754,0.9176540031317478,
5,micro avg,,0.928169014084507,0.928169014084507,0.928169014084507,
6,weighted avg,,0.9277769641103579,0.9289959410609697,0.928169014084507,
