,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9577464788732394,0.8898876404494382,0.9061784897025171,0.8979591836734695,0.9756676557863502
1,SB,0.9835680751173709,0.9820051413881749,0.9732484076433121,0.9776071657069738,0.9844674556213018
2,SR,0.9746478873239437,0.9191011235955057,0.9578454332552693,0.9380733944954128,0.9893175074183976
3,GSVT,0.9591549295774648,0.9264069264069265,0.8898128898128899,0.9077412513255567,0.9682254196642686
4,macro avg,,0.9303452488003532,0.931771305103497,0.9293502079600113,
5,micro avg,,0.9375586854460094,0.9375586854460094,0.9375586854460094,
6,weighted avg,,0.9375536762054391,0.9379208741578716,0.9375586854460094,
