,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9591549295774648,0.9078651685393259,0.8977777777777778,0.9027932960893856,0.9727002967359051
1,SB,0.9769953051643192,0.9858611825192802,0.9527950310559006,0.969046114971573,0.9718934911242604
2,SR,0.9690140845070423,0.8943820224719101,0.9544364508393285,0.9234338747099767,0.9887240356083086
3,GSVT,0.9586854460093897,0.9004329004329005,0.9082969432314411,0.9043478260869565,0.9748201438848921
4,macro avg,,0.9249052779644731,0.9283265507261119,0.9221353184908542,
5,micro avg,,0.931924882629108,0.931924882629108,0.931924882629108,
6,weighted avg,,0.931642095824307,0.9319920439760699,0.931924882629108,
