,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.964319248826291,0.9235955056179775,0.9072847682119205,0.9153674832962139,0.9750741839762611
1,SB,0.9821596244131455,0.9845758354755784,0.9671717171717171,0.9757961783439489,0.9807692307692307
2,SR,0.9737089201877934,0.9191011235955057,0.9533799533799534,0.9359267734553777,0.9881305637982196
3,GSVT,0.9624413145539906,0.9069264069264069,0.918859649122807,0.9128540305010893,0.9778177458033573
4,macro avg,,0.9349861163991574,0.9366740219715995,0.9335497179038672,
5,micro avg,,0.9413145539906104,0.9413145539906104,0.9413145539906104,
6,weighted avg,,0.9411896399519032,0.9412997910623082,0.9413145539906104,
