,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9661971830985916,0.9168539325842696,0.9209932279909706,0.9189189189189189,0.9792284866468842
1,SB,0.984037558685446,0.9858611825192802,0.970886075949367,0.9783163265306122,0.9829881656804734
2,SR,0.9755868544600939,0.9235955056179775,0.958041958041958,0.9405034324942791,0.9893175074183976
3,GSVT,0.9633802816901409,0.922077922077922,0.9102564102564102,0.9161290322580644,0.9748201438848921
4,macro avg,,0.9384669275504687,0.9400444180596764,0.9370971356998623,
5,micro avg,,0.9446009389671362,0.9446009389671362,0.9446009389671362,
6,weighted avg,,0.9445186203393968,0.9446283973763954,0.9446009389671362,
