,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.960093896713615,0.9078651685393259,0.9017857142857143,0.9048152295632699,0.9738872403560831
1,SB,0.9821596244131455,0.9794344473007712,0.9719387755102041,0.975672215108835,0.9837278106508875
2,SR,0.9727699530516432,0.9168539325842696,0.951048951048951,0.9336384439359267,0.9875370919881306
3,GSVT,0.9582159624413146,0.9112554112554112,0.8976545842217484,0.9044038668098818,0.9712230215827338
4,macro avg,,0.9296324388544783,0.9306070062666545,0.9288522399199445,
5,micro avg,,0.9366197183098591,0.9366197183098591,0.9366197183098591,
6,weighted avg,,0.9366288518910711,0.9368057330193955,0.9366197183098591,
