,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9619718309859155,0.8876404494382022,0.9272300469483568,0.9070034443168772,0.9816023738872404
1,SB,0.9802816901408451,0.9910025706940874,0.956575682382134,0.9734848484848484,0.974112426035503
2,SR,0.9737089201877934,0.903370786516854,0.9686746987951808,0.9348837209302326,0.9922848664688427
3,GSVT,0.9610328638497653,0.9329004329004329,0.8923395445134575,0.9121693121693121,0.9688249400479616
4,macro avg,,0.9318853314753176,0.9362049931597823,0.9287285598873941,
5,micro avg,,0.9384976525821597,0.9384976525821597,0.9384976525821597,
6,weighted avg,,0.9382315600368067,0.9390396067203717,0.9384976525821597,
