,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9629107981220657,0.9168539325842696,0.9066666666666666,0.911731843575419,0.9750741839762611
1,SB,0.9164319248826291,0.9922879177377892,0.8177966101694916,0.8966318234610918,0.8727810650887574
2,SR,0.9014084507042254,0.6269662921348315,0.8637770897832817,0.7265625,0.9738872403560831
3,GSVT,0.9525821596244132,0.8376623376623377,0.937046004842615,0.8845714285714286,0.9844124700239808
4,macro avg,,0.8548743989019849,0.8813215928655136,0.843442620029807,
5,micro avg,,0.8666666666666667,0.8666666666666667,0.8666666666666667,
6,weighted avg,,0.8616396908656295,0.8718349711593332,0.8666666666666667,
