,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.967605633802817,0.9235955056179775,0.92152466367713,0.9225589225589226,0.9792284866468842
1,SB,0.9948356807511737,0.9948586118251928,0.9910371318822023,0.9929441949967929,0.9948224852071006
2,SR,0.9882629107981221,0.9730337078651685,0.9708520179372198,0.9719416386083053,0.9922848664688427
3,GSVT,0.9713615023474178,0.9285714285714286,0.9387308533916849,0.9336235038084876,0.9832134292565947
4,macro avg,,0.955267064993127,0.9555361667220592,0.9550148134699419,
5,micro avg,,0.9610328638497653,0.9610328638497653,0.9610328638497653,
6,weighted avg,,0.9609846911673439,0.9609521906993885,0.9610328638497653,
