iter	MultiClass
163	0.314191741
164	0.3126541891
165	0.3111233638
166	0.3096326102
167	0.3081595137
168	0.3067399113
169	0.3052967219
170	0.3039047424
171	0.3025379388
172	0.3011428174
173	0.2996637095
174	0.2983122869
175	0.2968833775
176	0.2955038835
177	0.2941959589
178	0.2927993553
179	0.2914571073
180	0.2901264196
181	0.2888128581
182	0.2876622516
183	0.2863554201
184	0.2851244476
185	0.2838487816
186	0.2827019093
187	0.2815339515
188	0.28025982
189	0.2789873257
190	0.2777425053
191	0.2765559305
192	0.2753877171
193	0.2742045112
194	0.2730415953
195	0.2720195306
196	0.2709496287
197	0.269868153
198	0.2687819702
199	0.2676831901
200	0.2665994206
201	0.2655426362
202	0.2644889613
203	0.2635687057
204	0.2626025436
205	0.2615169871
206	0.2605342528
207	0.2595026941
208	0.2585433322
209	0.2575260193
210	0.2565515828
211	0.25559652
212	0.2546633952
213	0.2537240698
214	0.2528467449
215	0.2519193192
216	0.2510619918
217	0.250211606
218	0.2494068428
219	0.2485092371
220	0.2475858987
221	0.2467281459
222	0.2459067163
223	0.2450595147
224	0.2442808269
225	0.2434407021
226	0.2426619377
227	0.241856096
228	0.2410576808
229	0.2402957373
230	0.239514449
231	0.2387738955
232	0.2379917534
233	0.2372679001
234	0.2365189609
235	0.235730785
236	0.2349838027
237	0.2342164899
238	0.2334890028
239	0.2328031828
240	0.232023528
241	0.2312895956
242	0.2306548337
243	0.2299457874
244	0.2292893995
245	0.2286587553
246	0.2279034231
247	0.2272351396
248	0.2265399667
249	0.2259032603
250	0.2252519136
251	0.2246688248
252	0.2239832518
253	0.2232890982
254	0.2227051269
255	0.2221135206
256	0.2215510489
257	0.2209076253
258	0.2203463511
259	0.2198408956
260	0.2192273383
261	0.2186491356
262	0.2180777824
263	0.2174708646
264	0.216997098
265	0.2164751339
266	0.2159085224
267	0.2153680829
268	0.2148363423
269	0.2143318357
270	0.2137550709
271	0.2132988077
272	0.2127697154
273	0.2122627049
274	0.2118105415
275	0.2113401521
276	0.210827383
277	0.2103306893
278	0.2098812624
279	0.2093976955
280	0.2089189291
281	0.2084320714
282	0.2079783434
283	0.2074985064
284	0.2070645303
285	0.2066274559
286	0.2060765565
287	0.2056058629
288	0.2051119047
289	0.2046939147
290	0.2042591948
291	0.2038422579
292	0.2034720907
293	0.2030293772
294	0.202612019
295	0.2022295829
296	0.2017881679
297	0.2013761213
298	0.2009495219
299	0.2005646007
300	0.2001592212
301	0.1997305342
302	0.199384
303	0.1990207708
304	0.1985883289
305	0.1981430952
306	0.1977402117
307	0.1973441708
308	0.1969622511
309	0.1966336646
310	0.1961818486
311	0.1957936933
312	0.1954646548
313	0.1951071042
314	0.1946829433
315	0.1943183092
316	0.1939290888
317	0.1936406199
318	0.1933187047
319	0.1929759237
320	0.1926773718
321	0.1923744443
322	0.1920481297
323	0.1917206412
324	0.1914227017
325	0.1910253101
326	0.1907432943
327	0.1904431517
328	0.1901716068
329	0.189798193
330	0.1894989282
331	0.1891691653
332	0.188894741
333	0.1885994769
334	0.188244261
335	0.1878938182
336	0.1875860238
337	0.1873291122
338	0.1870303048
339	0.1867683825
340	0.1865026944
341	0.1861978144
342	0.1859634505
343	0.1857459646
344	0.1854874283
345	0.1852431021
346	0.1849038014
347	0.1846830626
348	0.1844426778
349	0.1841091178
350	0.1838296964
351	0.1835586427
352	0.1833066545
353	0.1830669028
354	0.1828658293
355	0.1826259553
356	0.1823499602
357	0.1821073935
358	0.1817928015
359	0.1815546342
360	0.1813227226
361	0.1810298796
362	0.1808054523
363	0.1805390237
364	0.1803208658
365	0.1800977523
366	0.1798823001
367	0.1797277449
368	0.1795429702
369	0.1793535238
370	0.1791507536
371	0.1789471469
372	0.1787295228
373	0.1784822274
374	0.1782815928
375	0.1779901613
376	0.1777638912
377	0.177555904
378	0.1773219919
379	0.1770550207
380	0.1768913837
381	0.1766763768
382	0.1764923218
383	0.1762700133
384	0.1760243365
385	0.1757731711
386	0.1755330853
387	0.1752983172
388	0.1751071743
389	0.1748766895
390	0.1746778567
391	0.1744671369
392	0.1742560064
393	0.1740463466
394	0.1738877087
395	0.1736586435
396	0.1734542227
397	0.173264368
398	0.173076549
399	0.1728628452
400	0.1726417482
401	0.1724765909
402	0.1723186836
403	0.172163993
404	0.1720262072
405	0.1718296775
406	0.1716376913
407	0.1714556037
408	0.1712777146
409	0.171120926
410	0.17099828
411	0.1708373855
412	0.1706554086
413	0.170468872
414	0.1703091056
415	0.1701184479
416	0.1699548764
417	0.1698012554
418	0.1696467452
419	0.1694593612
420	0.1693523559
421	0.1691910555
422	0.1690164949
423	0.1688620007
424	0.1687153637
425	0.1685172109
426	0.1683541341
427	0.1681579522
428	0.1679856047
429	0.167822309
430	0.1676641734
431	0.1674494118
432	0.1672803069
433	0.1671254787
434	0.1669548367
435	0.166830414
436	0.1666817019
437	0.166509585
438	0.1663241589
439	0.1661631596
440	0.165993514
441	0.1658554513
442	0.1657131877
443	0.165532007
444	0.1654040651
445	0.1652779296
446	0.1651484096
447	0.1650131861
448	0.1648763327
449	0.1647547658
450	0.16460232
451	0.1644617101
452	0.1643182648
453	0.1641639823
454	0.1640236736
455	0.1638586214
456	0.1637291007
457	0.1636249022
458	0.1635076976
459	0.1633634138
460	0.1632277589
461	0.1630655813
462	0.162926927
463	0.1627942732
464	0.1626976713
465	0.1625857451
466	0.1624602314
467	0.1623299562
468	0.162182402
469	0.1620062329
470	0.161942755
471	0.1617884902
472	0.161665707
473	0.1615637822
474	0.1614655994
475	0.1613098237
476	0.1612358424
477	0.1611260701
478	0.1610125397
479	0.1608637559
480	0.16075037
481	0.160624634
482	0.160521766
483	0.1603908701
484	0.1602987442
485	0.1601571182
486	0.1600351242
487	0.1598812989
488	0.1597837414
489	0.1596473676
490	0.1594920993
491	0.1593777352
492	0.1592654715
493	0.159103744
494	0.1589768741
495	0.1588364933
496	0.158762319
497	0.1586559724
498	0.1585675568
499	0.1584452698
500	0.1583240481
501	0.158196402
502	0.1580861172
503	0.1580131657
504	0.1578896671
505	0.1577438912
506	0.1576090319
507	0.1575190566
508	0.1574446725
509	0.1573730759
510	0.1572764406
511	0.1571816245
512	0.1570816634
513	0.1569798081
514	0.1569085011
515	0.1568310225
516	0.1567199037
517	0.1566521333
518	0.1565540951
519	0.1564808886
