,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9629107981220657,0.9235955056179775,0.9013157894736842,0.9123196448390677,0.973293768545994
1,SB,0.9887323943661972,0.9832904884318766,0.9858247422680413,0.9845559845559846,0.9918639053254438
2,SR,0.9877934272300469,0.9685393258426966,0.9729119638826185,0.9707207207207207,0.9928783382789318
3,GSVT,0.9694835680751174,0.922077922077922,0.9362637362637363,0.9291166848418757,0.9826139088729017
4,macro avg,,0.9491782587394121,0.9490790579720201,0.9493758104926182,
5,micro avg,,0.9544600938967136,0.9544600938967136,0.9544600938967136,
6,weighted avg,,0.9545490267866706,0.9547215238882334,0.9544600938967136,
