,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9652582159624413,0.9325842696629213,0.9041394335511983,0.9181415929203541,0.9738872403560831
1,SB,0.9901408450704225,0.9884318766066839,0.9846350832266325,0.986529826812059,0.9911242603550295
2,SR,0.9868544600938968,0.9640449438202248,0.9727891156462585,0.9683972911963883,0.9928783382789318
3,GSVT,0.9713615023474178,0.9199134199134199,0.9465478841870824,0.9330406147091109,0.9856115107913669
4,macro avg,,0.951527331409478,0.952027879152793,0.9512436275008125,
5,micro avg,,0.9568075117370892,0.9568075117370892,0.9568075117370892,
6,weighted avg,,0.9568520059564983,0.9570818880927795,0.9568075117370892,
