,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9657276995305164,0.8921348314606742,0.9407582938388626,0.9158016147635524,0.9851632047477745
1,SB,0.9892018779342723,0.9948586118251928,0.9760403530895334,0.985359643539147,0.9859467455621301
2,SR,0.9873239436619718,0.9707865168539326,0.968609865470852,0.9696969696969697,0.9916913946587537
3,GSVT,0.9723004694835681,0.9437229437229437,0.929637526652452,0.936627282491944,0.9802158273381295
4,macro avg,,0.9518713776229033,0.953761509762925,0.9503757259656858,
5,micro avg,,0.9572769953051643,0.9572769953051643,0.9572769953051643,
6,weighted avg,,0.9569852005960878,0.9570520013661563,0.9572769953051643,
