,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.964319248826291,0.9191011235955057,0.910913140311804,0.9149888143176735,0.9762611275964391
1,SB,0.9896713615023475,0.9845758354755784,0.9871134020618557,0.9858429858429858,0.992603550295858
2,SR,0.9882629107981221,0.9707865168539326,0.972972972972973,0.9718785151856018,0.9928783382789318
3,GSVT,0.9704225352112676,0.9307359307359307,0.9327548806941431,0.9317443120260022,0.9814148681055156
4,macro avg,,0.9511136568430657,0.950938599010194,0.9512998516652369,
5,micro avg,,0.956338028169014,0.956338028169014,0.956338028169014,
6,weighted avg,,0.9563885806435745,0.956448968120443,0.956338028169014,
