,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9624413145539906,0.9325842696629213,0.8924731182795699,0.9120879120879121,0.9703264094955489
1,SB,0.9882629107981221,0.9820051413881749,0.9858064516129033,0.9839021249195106,0.9918639053254438
2,SR,0.9863849765258216,0.9617977528089887,0.9727272727272728,0.9672316384180791,0.9928783382789318
3,GSVT,0.9699530516431925,0.9177489177489178,0.9422222222222222,0.9298245614035088,0.9844124700239808
4,macro avg,,0.9482615592072527,0.948307266210492,0.9485340204022507,
5,micro avg,,0.9535211267605633,0.9535211267605633,0.9535211267605633,
6,weighted avg,,0.9536863852258058,0.9541212488354697,0.9535211267605633,
