,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9633802816901409,0.9011235955056179,0.9218390804597701,0.9113636363636364,0.9798219584569733
1,SB,0.9896713615023475,0.9897172236503856,0.9821428571428571,0.9859154929577465,0.9896449704142012
2,SR,0.9877934272300469,0.9662921348314607,0.9750566893424036,0.9706546275395034,0.9934718100890207
3,GSVT,0.9699530516431925,0.9393939393939394,0.9234042553191489,0.9313304721030043,0.9784172661870504
4,macro avg,,0.9498160572409726,0.950610720566045,0.9491317233453509,
5,micro avg,,0.9553990610328639,0.9553990610328639,0.9553990610328639,
6,weighted avg,,0.9553122343049821,0.9553232518199798,0.9553990610328639,
