,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9605633802816902,0.9056179775280899,0.9056179775280899,0.9056179775280899,0.9750741839762611
1,SB,0.9906103286384976,0.9884318766066839,0.985897435897436,0.9871630295250321,0.9918639053254438
2,SR,0.9868544600938968,0.9662921348314607,0.9706546275395034,0.9684684684684685,0.9922848664688427
3,GSVT,0.9661971830985916,0.922077922077922,0.922077922077922,0.922077922077922,0.9784172661870504
4,macro avg,,0.9458318493998781,0.9460619907607379,0.9456049777610391,
5,micro avg,,0.952112676056338,0.952112676056338,0.952112676056338,
6,weighted avg,,0.9521038992671096,0.9520983635602273,0.952112676056338,
