,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.956338028169014,0.9123595505617977,0.8826086956521739,0.8972375690607735,0.9679525222551929
1,SB,0.9877934272300469,0.9768637532133676,0.9895833333333334,0.9831824062095731,0.9940828402366864
2,SR,0.9845070422535211,0.9640449438202248,0.9618834080717489,0.962962962962963,0.9899109792284867
3,GSVT,0.968075117370892,0.9199134199134199,0.9320175438596491,0.9259259259259259,0.9814148681055156
4,macro avg,,0.9423272160398088,0.9415232452292264,0.9432954168772025,
5,micro avg,,0.9483568075117371,0.9483568075117371,0.9483568075117371,
6,weighted avg,,0.9485835335959569,0.9489609975369188,0.9483568075117371,
