,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9894316580554251,0.9651685393258427,0.983963344788087,0.9744753261486104,0.9958432304038005
1,SB,0.9994128698919681,0.9996785599485696,0.9987154784842646,0.9991967871485944,0.9992599444958372
2,SR,0.9969469234382339,0.9943820224719101,0.9910414333706606,0.9927089175546832,0.997624703087886
3,GSVT,0.9897839361202443,0.9831978319783198,0.9700534759358289,0.9765814266487215,0.9916054564533053
4,macro avg,,0.9857406143751524,0.9859434331447103,0.9856067384311605,
5,micro avg,,0.9877876937529356,0.9877876937529356,0.9877876937529356,
6,weighted avg,,0.9877738246568847,0.987818344503138,0.9877876937529356,
