,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9553990610328639,0.946067415730337,0.8556910569105691,0.8986125933831377,0.9578635014836795
1,SB,0.939906103286385,0.9910025706940874,0.8643497757847534,0.9233532934131736,0.9105029585798816
2,SR,0.8511737089201878,0.7101123595505618,0.626984126984127,0.6659641728134879,0.8884272997032641
3,GSVT,0.8816901408450705,0.48917748917748916,0.9338842975206612,0.6420454545454546,0.9904076738609112
4,macro avg,,0.7824938785388135,0.8202273143000276,0.7840899587881189,
5,micro avg,,0.8140845070422535,0.8140845070422535,0.8140845070422535,
6,weighted avg,,0.8033946118464541,0.8280324543888373,0.8140845070422535,
